Roll Number,co_code,Year
2024IPM160,5747,2024
2025IPM001,18102,2024
2025IPM002,22859,2024
2025IPM003,28897,2024
2025IPM004,33727,2024
2025IPM005,34162,2024
2025IPM006,47858,2024
2025IPM007,48799,2024
2025IPM008,62987,2024
2025IPM010,66185,2024
2025IPM011,85447,2024
2025IPM012,86597,2024
2025IPM013,88258,2024
2025IPM014,88297,2024
2025IPM015,88320,2024
2025IPM016,93902,2024
2025IPM017,94080,2024
2025IPM018,96379,2024
2025IPM019,97066,2024
2025IPM020,100632,2024
2025IPM021,109874,2024
2025IPM022,122573,2024
2025IPM023,125123,2024
2025IPM024,127106,2024
2025IPM025,136444,2024
2025IPM027,136494,2024
2025IPM028,140829,2024
2025IPM029,155695,2024
2025IPM030,157827,2024
2025IPM031,163226,2024
2025IPM032,164646,2024
2025IPM033,177758,2024
2025IPM034,196667,2024
2025IPM035,196775,2024
2025IPM036,201643,2024
2025IPM038,225455,2024
2025IPM039,236328,2024
2025IPM041,239726,2024
2025IPM043,248093,2024
2025IPM044,248136,2024
2025IPM046,248186,2024
2025IPM047,251664,2024
2025IPM048,253375,2024
2025IPM049,256066,2024
2025IPM050,272724,2024
2025IPM051,324892,2024
2025IPM052,374518,2024
2025IPM053,374519,2024
2025IPM054,395047,2024
2025IPM056,412105,2024
2025IPM057,5747,2023
2025IPM058,18102,2023
2025IPM059,22859,2023
2025IPM060,28897,2023
2025IPM061,33727,2023
2025IPM062,34162,2023
2025IPM063,47858,2023
2025IPM064,48799,2023
2025IPM065,62987,2023
2025IPM066,66185,2023
2025IPM067,85447,2023
2025IPM068,86597,2023
2025IPM070,88258,2023
2025IPM071,88297,2023
2025IPM072,88320,2023
2025IPM073,93902,2023
2025IPM074,94080,2023
2025IPM075,96379,2023
2025IPM076,97066,2023
2025IPM077,100632,2023
2025IPM078,109874,2023
2025IPM079,122573,2023
2025IPM080,125123,2023
2025IPM081,127106,2023
2025IPM082,136444,2023
2025IPM083,136494,2023
2025IPM084,140829,2023
2025IPM085,155695,2023
2025IPM086,157827,2023
2025IPM087,163226,2023
2025IPM088,164646,2023
2025IPM090,177758,2023
2025IPM091,196667,2023
2025IPM093,196775,2023
2025IPM094,201643,2023
2025IPM095,225455,2023
2025IPM097,236328,2023
2025IPM098,239726,2023
2025IPM099,248093,2023
2025IPM100,248136,2023
2025IPM101,248186,2023
2025IPM102,251664,2023
2025IPM103,253375,2023
2025IPM104,256066,2023
2025IPM105,272724,2023
2025IPM106,324892,2023
2025IPM107,374518,2023
2025IPM108,374519,2023
2025IPM109,395047,2023
2025IPM110,412105,2023
2025IPM111,5747,2022
2025IPM112,18102,2022
2025IPM113,22859,2022
2025IPM114,28897,2022
2025IPM115,33727,2022
2025IPM116,34162,2022
2025IPM117,47858,2022
2025IPM118,48799,2022
2025IPM119,62987,2022
2025IPM120,66185,2022
2025IPM121,85447,2022
2025IPM122,86597,2022
2025IPM123,88258,2022
2025IPM124,88297,2022
2025IPM125,88320,2022
2025IPM126,93902,2022
2025IPM127,94080,2022
2025IPM128,96379,2022
2025IPM129,97066,2022
2025IPM130,100632,2022
2025IPM131,109874,2022
2025IPM132,122573,2022
2025IPM133,125123,2022
2025IPM134,127106,2022
2025IPM135,136444,2022
2025IPM136,136494,2022
2025IPM137,140829,2022
2025IPM138,155695,2022
2025IPM139,157827,2022
2025IPM140,163226,2022
2025IPM141,164646,2022
2025IPM142,177758,2022
2025IPM143,196667,2022
2025IPM144,201643,2022
2025IPM145,225455,2022
2025IPM146,236328,2022
2025IPM147,239726,2022
2025IPM148,248093,2022
2025IPM149,248136,2022
2025IPM150,248186,2022
2025IPM151,251664,2022
2025IPM152,253375,2022
2025IPM153,256066,2022
2025IPM154,272724,2022
2025IPM155,324892,2022
2025IPM156,374518,2022
2025IPM157,374519,2022
2025IPM158,395047,2022
2025IPM159,412105,2022
2025IPM160,100632,2021
2025IPM161,109874,2021
2025IPM162,122573,2021
2025IPM163,125123,2021
2025IPM164,127106,2021
2025IPM165,136444,2021
2025IPM166,136494,2021
2025IPM167,140829,2021
